ExtendedSessionID,ResponseID,UserID,Review_gender,Review_age,Review_ageBracket,Review_income,Review_ContinuousIncome,IncomeBracketSmall,Review_education,Review_educationBracket,Review_political,Review_religious,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat,gpt35turbo0125_wp_Saved,gpt4o_wp_Saved,gpt4turbo_wp_Saved,weights
-2146351809_5371561028316529.0,aMkp7sABPMGKFPrPd,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,12,0,0,0,0,Female,Gender,Gender,Male,Female,0,1,0,1,Desktop,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,6.510416666666667
-2146351809_5371561028316529.0,aMkp7sABPMGKFPrPd,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,12,1,0,1,0,Male,Gender,Gender,Male,Female,0,1,0,0,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.125
-2146351809_5371561028316529.0,akER6N8QtsfXce7PF,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,7,0,1,0,1,More,Utilitarian,Utilitarian,More,Less,1,5,1,1,Desktop,0,1,USA,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,10.416666666666666
-2146351809_5371561028316529.0,akER6N8QtsfXce7PF,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,7,1,1,0,2,Less,Utilitarian,Utilitarian,More,Less,1,4,1,0,Desktop,0,0,USA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,10.416666666666666
-2146351809_5371561028316529.0,bttayePe86HABf4P4,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,13,0,0,1,0,Fit,Fitness,Fitness,Fit,Fat,1,5,0,0,Desktop,0,0,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5
-2146351809_5371561028316529.0,bttayePe86HABf4P4,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,13,1,0,0,2,Fat,Fitness,Fitness,Fit,Fat,1,5,0,1,Desktop,0,1,USA,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,15.625
-2146351809_5371561028316529.0,d7EKnSRjPnguTM2Ns,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,5,0,1,0,2,Hoomans,Species,Species,Hoomans,Pets,1,2,0,1,Desktop,0,0,USA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.510416666666667
-2146351809_5371561028316529.0,d7EKnSRjPnguTM2Ns,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,5,1,1,0,1,Pets,Species,Species,Hoomans,Pets,1,2,0,0,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,6.510416666666667
-2146351809_5371561028316529.0,eKzabiyiuyQnfqNtv,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,11,0,0,1,0,Old,Age,Age,Young,Old,0,4,0,0,Desktop,0,0,USA,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
-2146351809_5371561028316529.0,eKzabiyiuyQnfqNtv,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,11,1,0,0,0,Young,Age,Age,Young,Old,0,4,0,1,Desktop,0,1,USA,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.416666666666666
-2146351809_5371561028316529.0,mtfbpdpEc7Lpwa9kX,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,4,0,1,0,2,Old,Age,Age,Young,Old,0,5,0,0,Desktop,0,0,USA,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.510416666666667
-2146351809_5371561028316529.0,mtfbpdpEc7Lpwa9kX,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,4,1,1,0,1,Young,Age,Age,Young,Old,0,5,0,1,Desktop,0,1,USA,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6.510416666666667
-2144898372_3426768953735781.0,2QDoy8vu8iB5zKRpw,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,6,0,1,0,0,Female,Gender,Gender,Male,Female,0,1,0,1,Desktop,1,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,4.340277777777778
-2144898372_3426768953735781.0,2QDoy8vu8iB5zKRpw,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,6,1,1,0,0,Male,Gender,Gender,Male,Female,0,1,0,0,Desktop,1,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.340277777777778
-2144898372_3426768953735781.0,3crdH2vQ3KW39Rxce,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,12,0,0,0,2,Fit,Fitness,Fitness,Fit,Fat,1,4,0,1,Desktop,1,0,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9.765625
-2144898372_3426768953735781.0,3crdH2vQ3KW39Rxce,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,12,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,4,0,0,Desktop,1,1,USA,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3.125
-2144898372_3426768953735781.0,7teYNgiKrE4yDG7Sn,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,2,0,0,0,0,Young,Age,Age,Young,Old,1,4,0,1,Desktop,1,1,USA,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.510416666666667
-2144898372_3426768953735781.0,7teYNgiKrE4yDG7Sn,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,2,1,0,1,0,Old,Age,Age,Young,Old,1,4,0,0,Desktop,1,0,USA,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.125
-2144898372_3426768953735781.0,88kZHwAd5ckTfhs4M,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,9,0,0,0,0,More,Utilitarian,Utilitarian,More,Less,1,5,3,1,Desktop,1,1,USA,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6.510416666666667
-2144898372_3426768953735781.0,88kZHwAd5ckTfhs4M,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,9,1,0,1,0,Less,Utilitarian,Utilitarian,More,Less,1,2,3,0,Desktop,1,0,USA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
-2144898372_3426768953735781.0,8yxjziqPgEP2bRRwb,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,8,0,0,0,1,Fit,Fitness,Fitness,Fit,Fat,1,3,0,0,Desktop,1,0,USA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,15.625
-2144898372_3426768953735781.0,8yxjziqPgEP2bRRwb,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,8,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,3,0,1,Desktop,1,1,USA,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.125
-2144898372_3426768953735781.0,NshC5YtoeyXH2EMns,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,3,0,1,0,0,Hoomans,Species,Species,Hoomans,Pets,1,4,0,0,Desktop,0,0,USA,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4.340277777777778
-2144898372_3426768953735781.0,NshC5YtoeyXH2EMns,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,3,1,1,0,0,Pets,Species,Species,Hoomans,Pets,1,4,0,1,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,4.340277777777778
-2144898372_3426768953735781.0,T2PudC2FGLYHkrMNm,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,11,0,0,0,0,Female,Gender,Gender,Male,Female,0,4,0,1,Desktop,1,0,USA,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,1,6.510416666666667
-2144898372_3426768953735781.0,T2PudC2FGLYHkrMNm,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,11,1,0,1,0,Male,Gender,Gender,Male,Female,0,4,0,0,Desktop,1,1,USA,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,3.125
-2144898372_3426768953735781.0,Xw5C7iGawg3ivp7vq,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,4,0,1,0,0,Old,Age,Age,Young,Old,0,5,0,0,Desktop,1,0,USA,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.340277777777778
-2144898372_3426768953735781.0,Xw5C7iGawg3ivp7vq,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,4,1,1,0,0,Young,Age,Age,Young,Old,0,5,0,1,Desktop,1,1,USA,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.340277777777778
-2144898372_3426768953735781.0,d8q2yjuSjcrHBD26Z,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,1,0,1,0,0,More,Utilitarian,Utilitarian,More,Less,1,5,4,1,Desktop,1,1,USA,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.340277777777778
-2144898372_3426768953735781.0,d8q2yjuSjcrHBD26Z,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,1,1,1,0,0,Less,Utilitarian,Utilitarian,More,Less,1,1,4,0,Desktop,1,0,USA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.340277777777778
-2144898372_3426768953735781.0,ik3YbaJiZ5TZzxHDW,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,5,0,1,0,1,Pets,Species,Species,Hoomans,Pets,0,2,0,0,Desktop,1,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,10.416666666666666
-2144898372_3426768953735781.0,ik3YbaJiZ5TZzxHDW,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,5,1,1,0,2,Hoomans,Species,Species,Hoomans,Pets,0,2,0,1,Desktop,1,0,USA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.416666666666666
-2144898372_3426768953735781.0,of4XDsWJLXQo885Tv,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,13,0,0,0,2,Rand,Random,Random,NA,NA,NA,1,2,0,Desktop,1,1,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.765625
-2144898372_3426768953735781.0,of4XDsWJLXQo885Tv,3426768953735780,Woman,43,35-44,80000,90000,"$50,001-
$100,000",bachelor,Some college,70,0,13,1,0,1,0,Rand,Random,Random,NA,NA,NA,3,2,1,Desktop,1,0,USA,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.125
-2143677760_7338714712713830.0,5TpSnW3uTSAJ2cmnD,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,2,0,0,0,0,Young,Age,Age,Young,Old,1,2,0,0,Desktop,1,1,USA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6.510416666666667
-2143677760_7338714712713830.0,5TpSnW3uTSAJ2cmnD,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,2,1,0,1,0,Old,Age,Age,Young,Old,1,2,0,1,Desktop,0,0,USA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
-2143677760_7338714712713830.0,5pWq9aiy2cgSuaAro,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,11,0,1,0,0,Pets,Species,Species,Hoomans,Pets,0,1,0,0,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.340277777777778
-2143677760_7338714712713830.0,5pWq9aiy2cgSuaAro,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,11,1,1,0,0,Hoomans,Species,Species,Hoomans,Pets,0,1,0,1,Desktop,0,0,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.340277777777778
-2143677760_7338714712713830.0,BLKY9qTHWcDfMpsEc,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,9,0,1,0,2,Hoomans,Species,Species,Hoomans,Pets,1,5,0,0,Desktop,0,1,USA,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,6.510416666666667
-2143677760_7338714712713830.0,BLKY9qTHWcDfMpsEc,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,9,1,1,0,1,Pets,Species,Species,Hoomans,Pets,1,5,0,1,Desktop,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,6.510416666666667
-2143677760_7338714712713830.0,CQpi2vhNQ2cDTofkc,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,6,0,0,0,2,More,Utilitarian,Utilitarian,More,Less,1,5,3,0,Desktop,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,9.765625
-2143677760_7338714712713830.0,CQpi2vhNQ2cDTofkc,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,6,1,0,1,0,Less,Utilitarian,Utilitarian,More,Less,1,2,3,1,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3.125
-2143677760_7338714712713830.0,Mx2kC6TxMBP5wJkr7,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,3,0,0,0,0,Rand,Random,Random,NA,NA,NA,1,3,0,Desktop,1,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6.510416666666667
-2143677760_7338714712713830.0,Mx2kC6TxMBP5wJkr7,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,3,1,0,1,0,Rand,Random,Random,NA,NA,NA,4,3,1,Desktop,0,0,USA,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3.125
-2143677760_7338714712713830.0,Q88ct7uPCvPsQrkiw,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,8,0,0,1,0,Less,Utilitarian,Utilitarian,More,Less,0,1,4,0,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
-2143677760_7338714712713830.0,Q88ct7uPCvPsQrkiw,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,8,1,0,0,0,More,Utilitarian,Utilitarian,More,Less,0,5,4,1,Desktop,0,0,USA,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,10.416666666666666
-2143677760_7338714712713830.0,TRJndBFLr8q4x7Aqt,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,7,0,0,0,0,Female,Gender,Gender,Male,Female,0,3,0,0,Desktop,0,1,USA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,6.510416666666667
-2143677760_7338714712713830.0,TRJndBFLr8q4x7Aqt,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,7,1,0,1,0,Male,Gender,Gender,Male,Female,0,3,0,1,Desktop,0,0,USA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.125
-2143677760_7338714712713830.0,azGFQ6NjMhdgbMqzA,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,13,0,0,1,0,Fit,Fitness,Fitness,Fit,Fat,1,5,0,0,Desktop,0,1,USA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5
-2143677760_7338714712713830.0,azGFQ6NjMhdgbMqzA,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,13,1,0,0,0,Fat,Fitness,Fitness,Fit,Fat,1,5,0,1,Desktop,0,0,USA,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,10.416666666666666
-2143677760_7338714712713830.0,gx36QvMWCXgero2nF,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,4,0,1,0,2,Fit,Fitness,Fitness,Fit,Fat,1,2,0,0,Desktop,1,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6.510416666666667
-2143677760_7338714712713830.0,gx36QvMWCXgero2nF,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,4,1,1,0,1,Fat,Fitness,Fitness,Fit,Fat,1,2,0,1,Desktop,1,1,USA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,6.510416666666667
-2143677760_7338714712713830.0,oH2vBrCX75wYBjWtp,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,5,0,1,0,0,Male,Gender,Gender,Male,Female,1,4,0,0,Desktop,0,0,USA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.340277777777778
-2143677760_7338714712713830.0,oH2vBrCX75wYBjWtp,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,5,1,1,0,0,Female,Gender,Gender,Male,Female,1,4,0,1,Desktop,0,1,USA,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4.340277777777778
-2143677760_7338714712713830.0,zJWgjGsyd5esFATwD,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,10,0,0,0,2,Old,Age,Age,Young,Old,0,2,0,0,Desktop,0,1,USA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.765625
-2143677760_7338714712713830.0,zJWgjGsyd5esFATwD,7338714712713830,Man,73,65-74,25000,30000,"$25,001-
$50,000",bachelor,Some college,77,0,10,1,0,1,0,Young,Age,Age,Young,Old,0,2,0,1,Desktop,0,0,USA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.125
-2141861809_3309460327552500.0,79bwh5BeYBsXYbRPE,3309460327552500,Man,16,15-24,5000,7500,"$5,001-
$25,000",underHigh,Less than high school,50,50,5,0,0,1,0,Female,Gender,Gender,Male,Female,0,3,0,1,Desktop,0,1,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,5
-2141861809_3309460327552500.0,79bwh5BeYBsXYbRPE,3309460327552500,Man,16,15-24,5000,7500,"$5,001-
$25,000",underHigh,Less than high school,50,50,5,1,0,0,2,Male,Gender,Gender,Male,Female,0,3,0,0,Desktop,0,0,USA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15.625
-2141861809_3309460327552500.0,7Yr9aJLj4ukxSyhe5,3309460327552500,Man,16,15-24,5000,7500,"$5,001-
$25,000",underHigh,Less than high school,50,50,11,0,1,0,2,Male,Gender,Gender,Male,Female,1,4,0,0,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,6.510416666666667
-2141861809_3309460327552500.0,7Yr9aJLj4ukxSyhe5,3309460327552500,Man,16,15-24,5000,7500,"$5,001-
$25,000",underHigh,Less than high school,50,50,11,1,1,0,1,Female,Gender,Gender,Male,Female,1,4,0,1,Desktop,0,0,USA,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,6.510416666666667
-2141861809_3309460327552500.0,Bvsx8K7kmPGc9hX6J,3309460327552500,Man,16,15-24,5000,7500,"$5,001-
$25,000",underHigh,Less than high school,50,50,1,0,0,0,0,More,Utilitarian,Utilitarian,More,Less,1,5,4,1,Desktop,1,1,USA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,6.510416666666667
-2141861809_3309460327552500.0,Bvsx8K7kmPGc9hX6J,3309460327552500,Man,16,15-24,5000,7500,"$5,001-
$25,000",underHigh,Less than high school,50,50,1,1,0,1,0,Less,Utilitarian,Utilitarian,More,Less,1,1,4,0,Desktop,1,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.125
-2141861809_3309460327552500.0,EmguErx3wdB3tXi5S,3309460327552500,Man,16,15-24,5000,7500,"$5,001-
$25,000",underHigh,Less than high school,50,50,8,0,0,1,0,Less,Utilitarian,Utilitarian,More,Less,0,1,4,0,Desktop,0,1,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
